id,entry
1,2016-10-25 11-28-55 MAIN_ON 0 -1
2,2016-10-25 11-28-55 PRESSURE1_ON -1 -1
3,2016-10-25 11-28-55 DOOR_ON -1 -1
4,2016-10-25 11-28-55 EXTERNAL_ON -1 -1
5,2016-10-25 11-28-59 BALLASTS_ON 0 1
6,2016-10-25 11-28-59 LAMPA_ON 0 -1
7,2016-10-25 11-28-59 LAMPB_ON 0 -1
8,2016-10-25 11-28-59 LAMPC_ON 0 -1
9,2016-10-25 11-28-59 LAMPD_ON 0 -1
10,2016-10-25 11-29-03 DOOR_OFF -1 -1
11,2016-10-25 11-29-03 BALLASTS_OFF -1 -1
12,2016-10-25 11-29-03 MAIN_OFF -1 -1
13,2016-10-25 11-29-03 PRESSURE1_OFF -1 -1
14,2016-10-25 11-29-03 EXTERNAL_OFF -1 -1
15,2016-10-25 11-29-03 LAMPD_OFF -1 -1
16,2016-10-25 11-29-03 LAMPA_OFF -1 -1
17,2016-10-25 11-29-03 LAMPC_OFF -1 -1
18,2016-10-25 11-29-03 LAMPB_OFF -1 -1
19,2016-10-25 11-29-00 POWER_OFF -1 -1
20,2017-03-24 10-12-53 POWER_ON -1 -1
21,2017-03-24 10-12-00 POWER_OFF -1 -1
22,2017-03-24 10-13-05 POWER_ON -1 -1
23,2017-03-24 10-13-00 POWER_OFF -1 -1
24,2017-05-04 14-15-17 POWER_ON -1 -1
25,2017-05-04 14-18-00 POWER_OFF -1 -1
26,2017-05-04 14-18-35 POWER_ON -1 -1
27,2017-05-04 14-20-00 POWER_OFF -1 -1
28,2017-05-28 13-37-32 POWER_ON -1 -1
29,2017-05-28 13-37-00 POWER_OFF -1 -1
30,2017-05-28 13-40-47 POWER_ON -1 -1
31,2017-05-28 19-45-00 POWER_OFF -1 -1
32,2017-05-29 07-41-43 POWER_ON -1 -1
33,2017-06-06 19-06-00 POWER_OFF -1 -1
34,2017-06-06 19-48-05 POWER_ON -1 -1
35,2017-06-12 15-43-00 POWER_OFF -1 -1
36,2017-06-12 15-47-29 POWER_ON -1 -1
37,2017-06-12 16-25-00 POWER_OFF -1 -1
38,2017-07-25 10-13-12 POWER_ON -1 -1
39,2017-07-28 14-25-00 POWER_OFF -1 -1
40,2017-08-11 08-19-49 POWER_ON -1 -1
41,2017-08-11 09-21-00 POWER_OFF -1 -1
42,2018-02-15 10-44-40 POWER_ON -1 -1
43,2018-02-15 10-47-00 POWER_OFF -1 -1
44,2018-02-15 10-47-57 POWER_ON -1 -1
45,2018-02-15 10-47-00 POWER_OFF -1 -1
46,2018-02-15 10-48-25 POWER_ON -1 -1
47,2018-02-15 10-55-00 POWER_OFF -1 -1
48,2018-02-15 10-55-38 POWER_ON -1 -1
49,2018-02-15 10-58-05 AWAKE_OFF -1 -1
50,2018-02-15 13-26-00 POWER_OFF -1 -1
51,2018-02-15 13-26-37 POWER_ON -1 -1
52,2018-02-15 13-26-40 AWAKE_OFF -1 -1
53,2018-02-15 13-27-00 POWER_OFF -1 -1
54,2018-02-15 13-27-56 POWER_ON -1 -1
55,2018-02-15 13-28-01 AWAKE_OFF -1 -1
56,2018-02-16 12-29-18 AWAKE_ON -1 -1
57,2018-02-16 12-30-30 AWAKE_OFF -1 -1
58,2018-02-16 13-19-00 POWER_OFF -1 -1
59,2018-02-16 13-23-18 POWER_ON -1 -1
60,2018-02-16 13-25-09 AWAKE_OFF -1 -1
61,2018-02-19 17-10-00 POWER_OFF -1 -1
62,2018-02-19 17-11-11 POWER_ON -1 -1
63,2018-02-19 17-11-14 AWAKE_OFF -1 -1
64,2018-02-20 13-28-00 POWER_OFF -1 -1
65,2018-02-20 13-28-25 POWER_ON -1 -1
66,2018-02-20 13-29-17 AWAKE_OFF -1 -1
67,2018-04-16 17-02-00 POWER_OFF -1 -1
68,2018-04-17 15-29-30 POWER_ON -1 -1
69,2018-04-17 15-29-31 MAIN_ON 0 -1
70,2018-04-17 15-29-35 PRESSURE1_ON -1 -1
71,2018-04-17 15-29-35 DOOR_ON -1 -1
72,2018-04-17 15-29-35 EXTERNAL_ON -1 -1
73,2018-04-17 15-29-37 RESERVE_ON -1 -1
74,2018-04-17 15-29-37 CONNECTOR_ON -1 -1
75,2018-04-17 15-29-41 PRESSURE2_ON -1 -1
76,2018-04-17 15-29-46 BALLASTS_ON 0 1
77,2018-04-17 15-29-46 LAMPA_ON 0 -1
78,2018-04-17 15-29-46 LAMPB_ON 0 -1
79,2018-04-17 15-29-46 LAMPC_ON 0 -1
80,2018-04-17 15-29-46 LAMPD_ON 0 -1
81,2018-04-17 15-29-48 PRESSURE2_OFF -1 -1
82,2018-04-17 15-29-48 BALLASTS_OFF -1 -1
83,2018-04-17 15-29-49 LAMPD_OFF -1 -1
84,2018-04-17 15-29-49 LAMPA_OFF -1 -1
85,2018-04-17 15-29-49 LAMPC_OFF -1 -1
86,2018-04-17 15-29-49 LAMPB_OFF -1 -1
87,2018-04-17 15-30-47 AWAKE_OFF -1 -1
88,2018-04-17 15-31-38 PRESSURE2_ON -1 -1
89,2018-04-17 15-31-49 AWAKE_ON -1 -1
90,2018-04-17 15-31-55 BALLASTS_ON 0 2
91,2018-04-17 15-31-55 LAMPA_ON 0 -1
92,2018-04-17 15-31-55 LAMPB_ON 0 -1
93,2018-04-17 15-31-55 LAMPC_ON 0 -1
94,2018-04-17 15-31-55 LAMPD_ON 0 -1
95,2018-04-17 15-32-07 AWAKE_OFF -1 -1
96,2018-04-17 15-32-07 BALLASTS_OFF -1 -1
97,2018-04-17 15-32-07 LAMPD_OFF -1 -1
98,2018-04-17 15-32-08 LAMPA_OFF -1 -1
99,2018-04-17 15-32-08 LAMPC_OFF -1 -1
100,2018-04-17 15-32-08 LAMPB_OFF -1 -1
101,2018-04-17 15-32-15 AWAKE_ON -1 -1
102,2018-04-17 15-32-21 BALLASTS_ON 0 3
103,2018-04-17 15-32-21 LAMPA_ON 0 -1
104,2018-04-17 15-32-21 LAMPB_ON 0 -1
105,2018-04-17 15-32-21 LAMPC_ON 0 -1
106,2018-04-17 15-32-21 LAMPD_ON 0 -1
